ServiceDate,Route,RouteName,CurrentRevenue,Ridership,TokenCount,TicketCount,PassCount,BillCount,UnclassifiedRevenue,DumpCount
1/3/2018,502,502-THOUSAND OAKS               ,323.17,872,1,0,516,184,30.64,82
1/3/2018,505,505-BASSE RD.,242.19,645,0,0,418,142,10.95,51
1/3/2018,509,509-HILDEBRAND                  ,264.58,604,0,0,350,137,6.66,59
1/3/2018,515,515-SOUTHCROSS                  ,411.53,985,0,0,476,227,16.93,117
1/3/2018,520,520-ZARZAMORA                   ,1754.36,5461,0,0,3289,1021,96.72,495
1/3/2018,522,522-BABCOCK               ,267.48,846,0,0,456,147,9.41,71
1/3/2018,524,524-GENERAL MCMULLEN                    ,846.43,2389,0,0,1228,437,44.9,231
1/3/2018,534,534-WURZBACH                    ,642.49,2004,0,0,1111,360,27.21,167
1/3/2018,550,550-LOOPER LIMITED STOP,993.39,3146,1,0,1929,566,42.84,224
1/3/2018,551,551-LOOPER LIMITED STOP,1087.65,3100,1,0,1912,630,62.6,274
1/3/2018,602,602  NORTH STAR / MEDICAL CENTER,237.99,762,0,0,347,130,10.11,50
1/3/2018,603,603  MED.CTR./UTSA,210.16,555,0,0,269,119,28.63,69
1/3/2018,604,604  MED.CTR./UNIV. HGTS.,140.35,370,0,0,186,69,7.8,31
1/3/2018,605,605  UTSA/MAINLAND,93.88,271,0,0,134,48,14.39,30
1/3/2018,606,606  MED. CTR./ALAMO RANCH,106.88,316,0,0,169,61,2.45,22
1/3/2018,607,607-INGRAM/MED.CTR.                   ,59.46,133,0,0,74,36,3.78,12
1/3/2018,609,609-INGRAM/MAINLAND                 ,57.58,225,1,0,106,27,2.43,16
1/3/2018,610,610-INGRAM/NWCROS                   ,96.31,395,0,0,150,54,3.4,24
1/3/2018,611,611-VALLEY HI,68.25,336,0,0,92,41,3.71,20
1/3/2018,612,612-WESTLAKES,107.1,311,0,0,109,55,4.37,28
1/3/2018,613,613-HERITAGE NW,149.23,534,1,0,163,77,6.07,29
1/3/2018,614,614-HIDDEN COVE,111.52,227,0,0,133,60,4.1,23
1/3/2018,615,615-HERITAGE PARK                   ,207.12,498,0,0,294,106,7.32,41
1/3/2018,616,616-SKY HARBOUR,239.22,552,0,0,308,128,7.99,47
1/3/2018,617,617-RAINBOW HILLS,151.53,356,0,0,209,83,3.52,27
1/3/2018,618,618-INGRAM/WESTLAKES                ,142.03,300,0,0,130,69,6.48,32
1/3/2018,619,619-INDIAN CREEK,86.46,265,0,0,94,45,3.57,21
1/3/2018,620,620- Ingram/NW Vista,123.98,274,0,0,139,77,7.84,29
1/3/2018,629,629 - INDUSTRY PARK,56.57,123,0,0,68,32,1.2,8
1/3/2018,630,630-SUNRISE/RANDOLPH PR             ,95.21,221,0,0,91,56,3.81,19
1/3/2018,631,631 - SUNRISE/SUMMERFEST,72.89,172,0,0,95,50,2.99,17
1/3/2018,632,632-RANDOLPH/VENTURA                ,400.8,875,1,0,507,234,15.53,75
1/3/2018,640,640-VALLEY FORGE                    ,123.91,217,0,0,97,59,4.65,29
1/3/2018,641,641-KNOLLCREEK                      ,12.15,40,0,0,10,6,0,0
1/3/2018,642,642 Nacogdoches / Rolling Oaks Mall,4.2,73,0,0,20,3,0,0
1/3/2018,647,647  NORTH STAR / HARRY WURZBACH,56.32,198,1,0,94,27,0.6,9
1/3/2018,648,648  NORTH STAR / STONE OAK PKWY.,111.27,251,0,0,111,65,6.69,23
1/3/2018,651,651  DECO DISTRICT / CASTLE HILLS,191.6,366,0,0,174,102,13.78,68
1/3/2018,660,660-UNIV P&R / NW VISTA,121.21,226,0,0,91,56,2.9,17
1/4/2018,2,2-BLANCO RD.,1135.89,2592,0,0,1455,557,157.46,350
1/4/2018,3,3-SAN PEDRO SKIP,402.45,1509,0,0,992,223,17.39,104
1/4/2018,4,4-SAN PEDRO,565.52,1942,0,0,1119,322,48.08,152
1/4/2018,5,5-MC CULLOUGH,403.22,1019,0,0,584,219,20.59,110
